Age,Sex,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Impulsivness,Sensation Seeing,Alcohol,Amphetamines,Amyl Nitrite,Benzodiazepine,Caffeine,Canabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal Highs,LSD,Methadone,Mushrooms,Nicotine,Semer,VSA
18-24,Female,University degree,Other,White,Average,Low,High,Average,High,Average,High,Used in Last Month,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Month,Used in Last Month,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Used in Last Decade
35-44,Male,Left school before 18 years,UK,White,Average,Average,Average,Average,Average,Average,High,Used in Last Week,Used in Last Month,Used over a Decade Ago,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Day,Used in Last Year,Used in Last Month,Used in Last Decade,Used in Last Month,Never Used,Used in Last Year,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used over a Decade Ago,Never Used,Used over a Decade Ago
25-34,Female,"Some college or university, no certificate or degree",USA,White,Average,High,High,Average,Average,Average,High,Used in Last Month,Used in Last Week,Never Used,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Day,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Used in Last Month,Used in Last Year,Used in Last Month,Used in Last Year,Used in Last Day,Never Used,Used over a Decade Ago
25-34,Female,University degree,USA,White,Average,Low,High,High,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Week,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Low,Average,High,High,Low,Average,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Year,Never Used,Used in Last Month,Used in Last Day,Never Used,Never Used
25-34,Female,"Some college or university, no certificate or degree",Other,White,Average,Average,High,Average,Average,Average,Average,Used in Last Week,Used in Last Decade,Never Used,Never Used,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Decade,Used in Last Week,Never Used,Never Used
35-44,Female,Professional certificate/ diploma,UK,White,Average,Average,Low,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Male,University degree,USA,White,Average,Average,Average,Average,Average,Average,High,Used in Last Week,Used in Last Decade,Never Used,Used in Last Month,Used in Last Day,Used in Last Month,Used in Last Week,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Month,Used in Last Year,Used in Last Month,Never Used,Used over a Decade Ago
55+,Male,"Some college or university, no certificate or degree",USA,White,Average,Low,Average,Low,Average,Average,Average,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
18-24,Male,Left school at 18 years,USA,Mixed-White/Black,Average,High,High,Average,Average,Average,High,Used in Last Month,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Month,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Year,Used in Last Year,Used over a Decade Ago,Used in Last Year
25-34,Female,Masters degree,USA,White,Average,Average,Average,Low,Average,Average,High,Used in Last Day,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Week,Used in Last Year,Used in Last Month,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Month,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
18-24,Female,Left school at 18 years,Other,White,Average,Average,Average,Average,Low,Average,Average,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Year,Never Used,Used in Last Day,Never Used,Used in Last Year,Never Used,Used in Last Day
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Year,Used in Last Week,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Year,Used in Last Month,Never Used,Never Used
18-24,Female,University degree,USA,White,Average,Low,High,Average,High,Average,High,Used in Last Week,Never Used,Never Used,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Year,Never Used,Used in Last Year
45-54,Female,Left school before 18 years,UK,White,High,Average,Low,Average,Average,High,High,Used over a Decade Ago,Used in Last Month,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Year,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
18-24,Female,University degree,USA,White,Average,Average,Average,Low,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Month,Used in Last Year,Never Used,Never Used
45-54,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Average,Average,High,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
18-24,Female,University degree,USA,White,High,Average,Low,Low,Low,Average,Average,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Week,Never Used,Used in Last Month,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Used in Last Decade
18-24,Male,Left school at 18 years,Canada,White,Low,Average,Low,Low,High,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Decade,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Female,Left school before 18 years,UK,White,Average,Average,Average,Average,High,Average,Average,Used in Last Week,Used in Last Decade,Never Used,Never Used,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used
25-34,Female,"Some college or university, no certificate or degree",UK,Mixed-White/Black,High,Average,Average,Low,Average,High,High,Used in Last Week,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Used in Last Week,Used in Last Day,Never Used,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,Black,High,Low,Average,Average,Low,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Week,Used in Last Day,Used in Last Week,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
25-34,Female,Masters degree,UK,White,Average,Average,Average,Average,Average,Low,Low,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,High,High,Average,Average,Average,High,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Month,Never Used,Used in Last Month,Never Used,Used in Last Week,Used in Last Month,Used in Last Week,Never Used,Used in Last Year,Used in Last Day,Never Used,Used in Last Year
18-24,Male,University degree,USA,White,Average,Average,Average,Average,Average,Average,High,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Year,Used in Last Week,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Never Used
45-54,Female,University degree,Other,White,Average,Low,Average,Average,Average,Average,Average,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Month,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,High,Low,Low,High,High,Used in Last Week,Used in Last Day,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Month,Used in Last Week,Never Used,Never Used
18-24,Male,Left school before 18 years,USA,White,Average,Average,Average,Low,Average,High,Average,Used in Last Year,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Day,Never Used,Used in Last Year
35-44,Female,Doctorate degree,USA,White,Average,Average,Average,Average,High,Low,Low,Used in Last Month,Used in Last Decade,Used over a Decade Ago,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Year,Never Used,Never Used
18-24,Male,University degree,USA,White,Average,Low,High,Average,High,Average,High,Used in Last Day,Used in Last Year,Never Used,Never Used,Used in Last Month,Used in Last Day,Used in Last Month,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Month,Used in Last Month,Used in Last Month,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,High,Average,Average,Average,Used in Last Month,Used in Last Week,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Month,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
18-24,Female,"Some college or university, no certificate or degree",USA,White,Average,Low,High,Average,Average,High,High,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Week,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Week,Never Used,Never Used
25-34,Male,University degree,Other,White,Average,Average,High,Average,Average,Average,High,Used in Last Day,Used in Last Day,Used in Last Month,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Month,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Month,Used in Last Month,Used in Last Week,Used in Last Day,Never Used,Used over a Decade Ago
35-44,Female,Left school before 18 years,UK,White,Average,Average,Low,Average,Low,Average,Average,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,High,Average,Low,High,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Year,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
18-24,Male,University degree,USA,White,High,Low,Average,Low,Average,Average,Average,Used in Last Year,Used in Last Day,Never Used,Used in Last Month,Used in Last Month,Used in Last Year,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used
